Pos.,Squadra,Competizione,N. di giocatori,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi
1,Alavés,es La Liga,24,5.0,1811,1556,247,68,12,12,119,104,23,7,9,3,1283,8,45
2,Angers,fr Ligue 1,23,4.0,1724,1532,183,49,7,2,72,80,22,12,8,0,1352,9,35
3,Arsenal,eng Premier League,19,4.0,1618,1451,160,49,11,11,48,59,18,14,0,2,1315,7,27
4,Aston Villa,eng Premier League,19,4.0,1911,1723,182,66,15,8,56,63,17,14,2,1,1596,6,34
5,Atalanta,it Serie A,24,4.0,1920,1735,181,50,3,13,74,68,18,5,7,0,1599,4,23
6,Athletic Club,es La Liga,24,5.0,2303,2054,239,60,8,23,87,111,21,9,7,0,1789,10,32
7,Atlético Madrid,es La Liga,20,5.0,2908,2667,228,54,5,26,87,103,22,5,9,0,2466,13,50
8,Augsburg,de Bundesliga,22,3.0,1375,1225,146,39,6,3,69,57,17,9,5,0,1078,4,41
9,Auxerre,fr Ligue 1,22,4.0,1983,1800,179,62,1,19,83,63,18,8,8,0,1603,4,39
10,Barcelona,es La Liga,21,5.0,2959,2699,252,91,16,24,82,94,35,4,14,0,2545,8,53
11,Bayern Munich,de Bundesliga,19,3.0,2236,2097,137,37,6,11,48,61,19,10,2,1,1967,2,24
12,Betis,es La Liga,23,5.0,2641,2395,240,76,7,17,83,90,34,13,11,0,2163,6,59
13,Bochum,de Bundesliga,19,3.0,1153,1000,148,35,7,5,44,65,12,7,4,0,825,5,26
14,Bologna,it Serie A,23,4.0,2391,2167,216,63,8,23,92,99,23,5,16,0,1992,8,40
15,Bournemouth,eng Premier League,21,4.0,1602,1414,178,42,1,5,85,72,24,19,2,0,1167,10,32
16,Brentford,eng Premier League,18,4.0,1729,1567,157,47,8,14,52,65,13,9,0,0,1398,5,34
17,Brest,fr Ligue 1,23,4.0,1755,1575,174,61,0,8,70,59,15,5,8,0,1365,6,35
18,Brighton,eng Premier League,23,4.0,2254,2067,184,65,9,11,81,61,25,11,8,1,1886,3,38
19,Cagliari,it Serie A,23,4.0,1789,1596,187,48,3,6,104,75,27,3,23,0,1353,6,34
20,Celta Vigo,es La Liga,23,5.0,2745,2471,261,81,13,21,57,107,19,5,7,0,2333,13,55
21,Chelsea,eng Premier League,21,4.0,2303,2118,179,58,8,8,56,67,16,11,1,0,1981,6,26
22,Como,it Serie A,26,4.0,1834,1647,180,60,5,8,73,72,16,3,10,0,1486,7,40
23,Crystal Palace,eng Premier League,21,4.0,2149,1958,181,46,7,10,70,69,19,11,0,0,1721,10,41
24,Dortmund,de Bundesliga,18,3.0,1925,1790,132,40,0,8,65,50,21,8,9,1,1664,3,24
25,Eint Frankfurt,de Bundesliga,19,3.0,1216,1087,124,22,5,8,39,52,12,4,7,0,983,5,26
26,Empoli,it Serie A,21,4.0,1237,1058,174,55,3,9,50,58,19,3,13,0,884,5,27
27,Espanyol,es La Liga,20,5.0,1907,1668,234,81,5,14,76,79,15,2,11,0,1454,5,38
28,Everton,eng Premier League,21,4.0,1351,1156,179,43,5,11,65,75,16,8,3,4,992,16,32
29,Fiorentina,it Serie A,25,4.0,2026,1807,208,77,1,15,79,75,25,7,12,1,1636,11,35
30,Freiburg,de Bundesliga,21,3.0,1214,1067,137,39,5,6,45,53,15,3,12,0,899,10,28
31,Fulham,eng Premier League,19,4.0,1926,1705,217,70,3,13,90,87,24,11,11,0,1552,4,43
32,Genoa,it Serie A,19,4.0,1505,1329,173,54,1,8,82,65,11,2,8,0,1159,3,23
33,Getafe,es La Liga,20,5.0,1579,1299,268,82,0,18,98,123,21,11,9,0,1001,12,30
34,Girona,es La Liga,22,5.0,2816,2583,216,49,3,16,102,94,24,7,10,0,2449,17,38
35,Gladbach,de Bundesliga,18,3.0,1578,1432,134,31,5,16,54,62,12,5,5,0,1257,12,35
36,Heidenheim,de Bundesliga,19,3.0,1116,972,141,30,1,7,41,64,8,5,3,0,815,3,35
37,Hellas Verona,it Serie A,23,4.0,1539,1386,146,41,4,17,60,55,12,7,4,0,1169,7,23
38,Hoffenheim,de Bundesliga,22,3.0,1450,1309,136,35,8,12,72,44,16,6,4,1,1174,5,25
39,Holstein Kiel,de Bundesliga,21,3.0,1234,1099,132,34,2,4,42,55,9,3,3,0,960,3,18
40,Inter,it Serie A,21,4.0,2368,2172,179,53,13,9,81,74,25,7,9,0,2050,17,28
41,Ipswich Town,eng Premier League,24,4.0,1374,1214,147,53,8,7,36,46,13,10,1,0,1066,13,33
42,Juventus,it Serie A,23,4.0,2414,2258,148,42,6,9,56,62,18,6,10,0,2141,8,26
43,Las Palmas,es La Liga,21,5.0,2830,2566,262,65,7,10,114,110,29,9,15,1,2300,2,47
44,Lazio,it Serie A,21,4.0,2152,1943,202,50,9,9,118,86,33,18,12,0,1814,7,29
45,Le Havre,fr Ligue 1,21,4.0,1586,1419,159,45,6,4,61,63,13,6,6,0,1241,8,27
46,Lecce,it Serie A,20,4.0,1574,1379,192,63,3,3,72,59,25,15,7,0,1227,3,19
47,Leganés,es La Liga,22,5.0,1986,1773,204,63,3,19,67,69,13,7,5,0,1477,9,46
48,Leicester City,eng Premier League,20,4.0,1680,1503,167,62,7,6,53,56,10,7,3,0,1339,10,29
49,Lens,fr Ligue 1,21,4.0,1937,1741,182,49,11,7,80,75,20,13,5,0,1513,14,48
50,Leverkusen,de Bundesliga,19,3.0,1940,1811,128,33,7,6,70,38,34,10,11,0,1679,1,32
51,Lille,fr Ligue 1,21,4.0,2511,2338,164,49,2,9,75,66,21,6,7,0,2147,9,38
52,Liverpool,eng Premier League,19,4.0,2410,2221,186,40,10,16,63,95,28,19,5,0,2048,3,29
53,Lyon,fr Ligue 1,21,4.0,1787,1573,201,47,3,9,62,85,24,15,5,0,1399,13,52
54,Mainz 05,de Bundesliga,20,3.0,1298,1150,141,26,3,6,67,62,20,4,9,4,987,7,28
55,Mallorca,es La Liga,21,6.0,2557,2279,270,62,4,25,144,105,32,12,17,1,1985,8,50
56,Manchester City,eng Premier League,20,4.0,2709,2537,166,40,9,7,65,68,36,11,4,1,2425,6,41
57,Manchester Utd,eng Premier League,20,4.0,2272,2100,163,38,11,7,58,72,23,10,2,5,1929,9,40
58,Marseille,fr Ligue 1,23,4.0,2659,2498,157,43,3,6,34,76,6,2,1,0,2350,4,40
59,Milan,it Serie A,23,4.0,2303,2143,158,47,7,11,94,53,31,21,3,0,2015,2,24
60,Monaco,fr Ligue 1,20,4.0,2174,1946,220,75,15,9,64,84,24,12,6,0,1781,8,37
61,Montpellier,fr Ligue 1,22,4.0,1820,1629,186,48,2,18,78,64,20,5,12,0,1491,5,28
62,Monza,it Serie A,20,4.0,1898,1690,205,70,0,8,60,72,12,5,6,0,1539,3,28
63,Nantes,fr Ligue 1,21,4.0,1593,1424,164,37,4,5,74,77,17,5,9,0,1251,5,29
64,Napoli,it Serie A,20,4.0,1941,1725,207,63,14,10,74,82,22,12,6,0,1557,9,48
65,Newcastle Utd,eng Premier League,18,4.0,1560,1345,210,75,3,9,63,68,26,15,5,0,1197,5,47
66,Nice,fr Ligue 1,24,4.0,1869,1675,185,66,9,3,70,63,18,9,7,0,1534,9,33
67,Nott'ham Forest,eng Premier League,22,4.0,1642,1440,191,57,4,5,61,71,21,11,10,0,1235,11,37
68,Osasuna,es La Liga,22,5.0,2097,1839,251,62,1,17,99,111,21,11,4,0,1556,7,42
69,Paris S-G,fr Ligue 1,21,4.0,3014,2822,186,54,9,13,59,76,28,3,8,0,2732,6,40
70,Parma,it Serie A,23,4.0,1567,1381,181,62,6,14,25,56,16,1,2,1,1253,5,17
71,Rayo Vallecano,es La Liga,22,5.0,1931,1657,258,64,5,11,104,107,27,13,10,0,1372,16,60
72,RB Leipzig,de Bundesliga,19,3.0,1720,1588,123,43,7,3,49,46,17,8,5,0,1425,9,28
73,Real Madrid,es La Liga,18,5.0,3173,2933,234,71,6,25,81,93,31,11,10,1,2790,6,46
74,Real Sociedad,es La Liga,25,6.0,2898,2566,323,85,2,20,111,138,34,14,14,0,2279,9,48
75,Reims,fr Ligue 1,21,4.0,1725,1550,172,59,5,12,52,63,10,6,2,0,1407,3,27
76,Rennes,fr Ligue 1,20,4.0,1735,1565,165,43,5,8,63,67,20,17,2,0,1410,5,30
77,Roma,it Serie A,21,4.0,2168,1949,216,51,3,8,87,99,20,9,8,1,1812,3,33
78,Saint-Étienne,fr Ligue 1,25,4.0,1556,1351,193,51,2,15,45,80,10,4,6,0,1207,12,20
79,Sevilla,es La Liga,23,5.0,2576,2318,246,73,4,13,80,100,29,13,7,0,2099,12,48
80,Southampton,eng Premier League,24,4.0,2562,2388,170,53,6,6,71,55,24,10,5,0,2234,4,43
81,St. Pauli,de Bundesliga,17,3.0,1723,1562,155,39,1,7,62,71,15,4,7,0,1338,6,42
82,Strasbourg,fr Ligue 1,21,4.0,2066,1862,199,66,6,6,40,78,14,4,8,0,1715,5,33
83,Stuttgart,de Bundesliga,21,3.0,1819,1681,134,43,2,9,55,50,16,5,10,0,1531,4,27
84,Torino,it Serie A,21,4.0,1859,1690,163,46,5,2,59,49,11,10,0,0,1519,6,23
85,Tottenham,eng Premier League,20,4.0,2492,2279,206,61,8,10,106,79,44,18,7,0,2125,7,54
86,Toulouse,fr Ligue 1,19,4.0,1773,1578,194,48,3,8,65,81,22,6,15,0,1385,1,34
87,Udinese,it Serie A,19,4.0,1442,1254,179,49,2,13,63,61,19,7,8,0,1116,9,27
88,Union Berlin,de Bundesliga,19,3.0,1171,1035,132,34,2,4,57,52,19,13,4,0,829,4,29
89,Valencia,es La Liga,22,5.0,2434,2171,249,63,3,16,117,111,30,9,16,0,1926,14,52
90,Valladolid,es La Liga,22,5.0,2103,1877,215,71,6,28,88,80,16,6,8,0,1706,11,38
91,Venezia,it Serie A,26,4.0,1496,1330,158,55,7,11,48,59,10,3,4,0,1192,8,29
92,Villarreal,es La Liga,20,5.0,2212,1986,216,67,5,20,68,77,20,11,6,0,1816,10,39
93,Werder Bremen,de Bundesliga,18,3.0,1397,1249,137,44,1,20,56,48,11,3,7,0,1099,11,22
94,West Ham,eng Premier League,21,4.0,1647,1463,179,43,2,21,69,72,13,6,6,0,1290,5,45
95,Wolfsburg,de Bundesliga,19,3.0,1224,1063,157,50,2,9,62,65,13,11,1,0,893,4,25
96,Wolves,eng Premier League,22,4.0,1629,1439,183,55,10,13,55,72,14,6,7,0,1277,7,36
