Pos.,Squadra,Competizione,N. di giocatori,90 min,Reti,Tiri,Tiri,% TiP,Tiri/90,TiP/90,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Alavés,es La Liga,24,5.0,7,61,18,"29,5","12,20","3,60","0,10","0,33","16,6",3,1,2,7.3,5.7,"0,09",-0.3,+0.3
2,Angers,fr Ligue 1,23,4.0,2,39,13,"33,3","9,75","3,25","0,03","0,08","20,2",1,1,1,3.3,2.5,"0,06",-1.3,-1.5
3,Arsenal,eng Premier League,19,4.0,6,45,21,"46,7","11,25","5,25","0,13","0,29","15,7",0,0,0,5.0,5.0,"0,11",+1.0,+1.0
4,Aston Villa,eng Premier League,19,4.0,7,53,18,"34,0","13,25","4,50","0,13","0,39","15,5",0,0,0,6.7,6.7,"0,13",+0.3,+0.3
5,Atalanta,it Serie A,24,4.0,8,58,21,"36,2","14,50","5,25","0,12","0,33","15,2",1,1,2,7.8,6.2,"0,11",+0.2,+0.8
6,Athletic Club,es La Liga,24,5.0,6,44,14,"31,8","8,80","2,80","0,11","0,36","18,7",1,1,1,4.7,3.9,"0,10",+1.3,+1.1
7,Atlético Madrid,es La Liga,20,5.0,9,68,23,"33,8","13,60","4,60","0,13","0,39","15,2",1,0,0,9.4,9.4,"0,14",-0.4,-0.4
8,Augsburg,de Bundesliga,22,3.0,5,44,11,"25,0","14,67","3,67","0,11","0,45","16,8",2,0,0,4.4,4.4,"0,10",+0.6,+0.6
9,Auxerre,fr Ligue 1,22,4.0,3,48,16,"33,3","12,00","4,00","0,06","0,19","18,9",2,0,0,4.1,4.1,"0,09",-1.1,-1.1
10,Barcelona,es La Liga,21,5.0,17,95,35,"36,8","19,00","7,00","0,17","0,46","17,4",3,1,1,12.9,12.1,"0,13",+4.1,+3.9
11,Bayern Munich,de Bundesliga,19,3.0,9,48,21,"43,8","16,00","7,00","0,15","0,33","14,4",0,2,2,7.1,5.6,"0,12",+1.9,+1.4
12,Betis,es La Liga,23,5.0,5,75,20,"26,7","15,00","4,00","0,05","0,20","17,9",1,1,1,8.1,7.5,"0,10",-3.1,-3.5
13,Bochum,de Bundesliga,19,3.0,1,38,10,"26,3","12,67","3,33","0,03","0,10","20,2",1,0,0,2.5,2.5,"0,07",-1.5,-1.5
14,Bologna,it Serie A,23,4.0,4,57,14,"24,6","14,25","3,50","0,05","0,21","17,0",3,1,1,6.3,5.6,"0,10",-2.3,-2.6
15,Bournemouth,eng Premier League,21,4.0,5,64,21,"32,8","16,00","5,25","0,08","0,24","18,4",2,0,1,7.6,6.8,"0,11",-2.6,-1.8
16,Brentford,eng Premier League,18,4.0,6,45,19,"42,2","11,25","4,75","0,13","0,32","14,5",0,0,0,5.9,5.9,"0,14",+0.1,+0.1
17,Brest,fr Ligue 1,23,4.0,6,44,16,"36,4","11,00","4,00","0,07","0,19","17,7",1,3,4,6.3,3.1,"0,07",-0.3,-0.1
18,Brighton,eng Premier League,23,4.0,6,67,19,"28,4","16,75","4,75","0,09","0,32","17,2",3,0,0,6.9,6.9,"0,11",-0.9,-0.9
19,Cagliari,it Serie A,23,4.0,1,64,14,"21,9","16,00","3,50","0,02","0,07","15,7",1,0,0,4.6,4.6,"0,07",-3.6,-3.6
20,Celta Vigo,es La Liga,23,5.0,12,58,28,"48,3","11,60","5,60","0,21","0,43","16,0",5,0,1,8.3,7.5,"0,13",+3.7,+4.5
21,Chelsea,eng Premier League,21,4.0,8,47,21,"44,7","11,75","5,25","0,17","0,38","16,5",2,0,0,5.7,5.7,"0,12",+2.3,+2.3
22,Como,it Serie A,26,4.0,2,51,12,"23,5","12,75","3,00","0,04","0,17","17,8",0,0,1,4.4,3.7,"0,07",-2.4,-1.7
23,Crystal Palace,eng Premier League,21,4.0,3,56,14,"25,0","14,00","3,50","0,04","0,14","18,2",3,1,1,5.6,4.8,"0,09",-2.6,-2.8
24,Dortmund,de Bundesliga,18,3.0,6,41,14,"34,1","13,67","4,67","0,12","0,36","17,8",0,1,1,4.9,4.2,"0,10",+1.1,+0.8
25,Eint Frankfurt,de Bundesliga,19,3.0,5,38,14,"36,8","12,67","4,67","0,11","0,29","16,1",0,1,1,6.3,5.5,"0,14",-1.3,-1.5
26,Empoli,it Serie A,21,4.0,3,35,10,"28,6","8,75","2,50","0,06","0,20","16,2",1,1,1,4.6,3.8,"0,12",-1.6,-1.8
27,Espanyol,es La Liga,20,5.0,5,49,12,"24,5","9,80","2,40","0,08","0,33","16,9",2,1,1,6.0,5.2,"0,11",-1.0,-1.2
28,Everton,eng Premier League,21,4.0,4,43,12,"27,9","10,75","3,00","0,09","0,33","14,5",0,0,0,4.1,4.1,"0,10",-0.1,-0.1
29,Fiorentina,it Serie A,25,4.0,5,60,26,"43,3","15,00","6,50","0,08","0,19","17,1",2,0,0,5.4,5.4,"0,10",-0.4,-0.4
30,Freiburg,de Bundesliga,21,3.0,5,50,16,"32,0","16,67","5,33","0,10","0,31","17,0",1,0,1,6.9,6.1,"0,15",-1.9,-1.1
31,Fulham,eng Premier League,19,4.0,4,58,17,"29,3","14,50","4,25","0,07","0,24","15,8",3,0,0,4.6,4.6,"0,08",-0.6,-0.6
32,Genoa,it Serie A,19,4.0,4,54,15,"27,8","13,50","3,75","0,07","0,27","19,0",4,0,1,5.5,4.6,"0,09",-1.5,-0.6
33,Getafe,es La Liga,20,5.0,2,67,12,"17,9","13,40","2,40","0,03","0,17","21,4",1,0,0,3.5,3.5,"0,05",-1.5,-1.5
34,Girona,es La Liga,22,5.0,8,55,18,"32,7","11,00","3,60","0,13","0,39","17,0",0,1,1,7.9,7.1,"0,13",+0.1,-0.1
35,Gladbach,de Bundesliga,18,3.0,5,44,19,"43,2","14,67","6,33","0,11","0,26","15,2",0,0,0,6.1,6.1,"0,14",-1.1,-1.1
36,Heidenheim,de Bundesliga,19,3.0,8,29,13,"44,8","9,67","4,33","0,21","0,46","17,5",1,2,2,6.0,4.4,"0,15",+2.0,+1.6
37,Hellas Verona,it Serie A,23,4.0,6,32,9,"28,1","8,00","2,25","0,16","0,56","18,3",2,1,1,4.6,3.8,"0,12",+1.4,+1.2
38,Hoffenheim,de Bundesliga,22,3.0,5,46,15,"32,6","15,33","5,00","0,09","0,27","18,6",1,1,1,5.3,4.6,"0,10",-0.3,-0.6
39,Holstein Kiel,de Bundesliga,21,3.0,3,35,12,"34,3","11,67","4,00","0,09","0,25","17,8",1,0,0,3.1,3.1,"0,09",-0.1,-0.1
40,Inter,it Serie A,21,4.0,8,56,15,"26,8","14,00","3,75","0,13","0,47","15,3",2,1,1,7.2,6.4,"0,12",+0.8,+0.6
41,Ipswich Town,eng Premier League,24,4.0,2,25,8,"32,0","6,25","2,00","0,08","0,25","17,2",1,0,0,1.5,1.5,"0,06",+0.5,+0.5
42,Juventus,it Serie A,23,4.0,6,43,14,"32,6","10,75","3,50","0,12","0,36","18,7",2,1,1,3.8,3.0,"0,07",+2.2,+2.0
43,Las Palmas,es La Liga,21,5.0,5,59,23,"39,0","11,80","4,60","0,08","0,22","17,9",3,0,0,5.1,5.1,"0,09",-0.1,-0.1
44,Lazio,it Serie A,21,4.0,7,50,20,"40,0","12,50","5,00","0,12","0,30","16,7",0,1,1,7.0,6.2,"0,13",0.0,-0.2
45,Le Havre,fr Ligue 1,21,4.0,5,44,16,"36,4","11,00","4,00","0,07","0,19","20,9",1,2,2,5.5,4.0,"0,09",-0.5,-1.0
46,Lecce,it Serie A,20,4.0,1,68,17,"25,0","17,00","4,25","0,01","0,06","18,2",2,0,0,5.1,5.1,"0,08",-4.1,-4.1
47,Leganés,es La Liga,22,5.0,3,38,11,"28,9","7,60","2,20","0,08","0,27","20,8",3,0,1,3.0,2.3,"0,06",0.0,+0.7
48,Leicester City,eng Premier League,20,4.0,5,35,14,"40,0","8,75","3,50","0,14","0,36","19,9",1,0,0,3.3,3.3,"0,10",+1.7,+1.7
49,Lens,fr Ligue 1,21,4.0,3,53,20,"37,7","13,25","5,00","0,04","0,10","16,1",1,1,1,7.4,6.6,"0,13",-4.4,-4.6
50,Leverkusen,de Bundesliga,19,3.0,9,69,25,"36,2","23,00","8,33","0,12","0,32","16,6",2,1,2,8.4,6.7,"0,10",+0.6,+1.3
51,Lille,fr Ligue 1,21,4.0,5,58,20,"34,5","14,50","5,00","0,09","0,25","16,4",2,0,0,5.5,5.5,"0,10",-0.5,-0.5
52,Liverpool,eng Premier League,19,4.0,7,62,21,"33,9","15,50","5,25","0,11","0,33","14,2",1,0,0,7.8,7.8,"0,13",-0.8,-0.8
53,Lyon,fr Ligue 1,21,4.0,4,44,16,"36,4","11,00","4,00","0,09","0,25","16,5",0,0,1,5.5,4.7,"0,11",-1.5,-0.7
54,Mainz 05,de Bundesliga,20,3.0,5,40,14,"35,0","13,33","4,67","0,10","0,29","17,6",3,1,1,4.5,3.7,"0,09",+0.5,+0.3
55,Mallorca,es La Liga,21,6.0,3,64,20,"31,3","10,67","3,33","0,03","0,10","17,0",0,1,1,5.0,4.2,"0,07",-2.0,-2.2
56,Manchester City,eng Premier League,20,4.0,11,65,24,"36,9","16,25","6,00","0,15","0,42","16,9",2,1,1,9.2,8.4,"0,13",+1.8,+1.6
57,Manchester Utd,eng Premier League,20,4.0,5,53,21,"39,6","13,25","5,25","0,09","0,24","17,0",0,0,0,7.9,7.9,"0,15",-2.9,-2.9
58,Marseille,fr Ligue 1,23,4.0,11,48,22,"45,8","12,00","5,50","0,19","0,41","17,1",2,2,2,6.9,5.3,"0,12",+4.1,+3.7
59,Milan,it Serie A,23,4.0,9,63,20,"31,7","15,75","5,00","0,11","0,35","18,6",1,2,2,7.5,6.0,"0,10",+1.5,+1.0
60,Monaco,fr Ligue 1,20,4.0,7,71,24,"33,8","17,75","6,00","0,10","0,29","16,4",1,0,0,8.6,8.6,"0,12",-1.6,-1.6
61,Montpellier,fr Ligue 1,22,4.0,2,37,15,"40,5","9,25","3,75","0,03","0,07","20,6",3,1,1,3.2,2.5,"0,07",-1.2,-1.5
62,Monza,it Serie A,20,4.0,3,24,8,"33,3","6,00","2,00","0,13","0,38","18,0",1,0,0,1.3,1.3,"0,05",+1.7,+1.7
63,Nantes,fr Ligue 1,21,4.0,6,45,16,"35,6","11,25","4,00","0,11","0,31","17,5",1,1,1,4.9,4.1,"0,10",+1.1,+0.9
64,Napoli,it Serie A,20,4.0,9,72,21,"29,2","18,00","5,25","0,13","0,43","17,3",1,0,0,7.5,7.5,"0,10",+1.5,+1.5
65,Newcastle Utd,eng Premier League,18,4.0,6,40,15,"37,5","10,00","3,75","0,15","0,40","14,8",0,0,0,5.2,5.2,"0,13",+0.8,+0.8
66,Nice,fr Ligue 1,24,4.0,6,46,17,"37,0","11,50","4,25","0,13","0,35","14,3",3,0,0,6.1,6.1,"0,14",-0.1,-0.1
67,Nott'ham Forest,eng Premier League,22,4.0,4,58,24,"41,4","14,50","6,00","0,07","0,17","17,1",1,0,0,5.0,5.0,"0,09",-1.0,-1.0
68,Osasuna,es La Liga,22,5.0,4,47,16,"34,0","9,40","3,20","0,09","0,25","16,6",1,0,0,3.5,3.5,"0,08",+0.5,+0.5
69,Paris S-G,fr Ligue 1,21,4.0,16,73,34,"46,6","18,25","8,50","0,19","0,41","15,9",4,2,2,12.1,10.5,"0,15",+3.9,+3.5
70,Parma,it Serie A,23,4.0,6,44,15,"34,1","11,00","3,75","0,11","0,33","18,2",1,1,1,6.0,5.2,"0,12",0.0,-0.2
71,Rayo Vallecano,es La Liga,22,5.0,7,57,19,"33,3","11,40","3,80","0,12","0,37","21,5",3,0,0,4.6,4.6,"0,08",+2.4,+2.4
72,RB Leipzig,de Bundesliga,19,3.0,4,35,9,"25,7","11,67","3,00","0,11","0,44","18,2",1,0,1,3.7,2.9,"0,08",+0.3,+1.1
73,Real Madrid,es La Liga,18,5.0,9,89,31,"34,8","17,80","6,20","0,06","0,16","18,2",3,4,4,10.0,7.2,"0,08",-1.0,-2.2
74,Real Sociedad,es La Liga,25,6.0,3,54,15,"27,8","9,00","2,50","0,06","0,20","18,8",3,0,0,4.4,4.4,"0,08",-1.4,-1.4
75,Reims,fr Ligue 1,21,4.0,6,37,14,"37,8","9,25","3,50","0,16","0,43","18,3",0,0,0,2.8,2.8,"0,08",+3.2,+3.2
76,Rennes,fr Ligue 1,20,4.0,8,60,24,"40,0","15,00","6,00","0,13","0,33","16,5",2,0,0,5.2,5.2,"0,09",+2.8,+2.8
77,Roma,it Serie A,21,4.0,2,65,16,"24,6","16,25","4,00","0,03","0,13","17,1",1,0,0,5.6,5.6,"0,09",-3.6,-3.6
78,Saint-Étienne,fr Ligue 1,25,4.0,1,46,14,"30,4","11,50","3,50","0,02","0,07","19,1",2,0,0,2.9,2.9,"0,07",-1.9,-1.9
79,Sevilla,es La Liga,23,5.0,3,76,28,"36,8","15,20","5,60","0,04","0,11","18,9",3,0,0,6.0,6.0,"0,08",-3.0,-3.0
80,Southampton,eng Premier League,24,4.0,1,47,12,"25,5","11,75","3,00","0,02","0,08","17,8",2,0,1,4.5,3.7,"0,08",-3.5,-2.7
81,St. Pauli,de Bundesliga,17,3.0,1,30,7,"23,3","10,00","2,33","0,03","0,14","18,3",1,0,0,2.2,2.2,"0,07",-1.2,-1.2
82,Strasbourg,fr Ligue 1,21,4.0,7,47,22,"46,8","11,75","5,50","0,15","0,32","15,3",2,0,0,6.6,6.6,"0,14",+0.4,+0.4
83,Stuttgart,de Bundesliga,21,3.0,7,49,20,"40,8","16,33","6,67","0,14","0,35","16,4",3,0,0,6.3,6.3,"0,13",+0.7,+0.7
84,Torino,it Serie A,21,4.0,4,37,14,"37,8","9,25","3,50","0,11","0,29","16,4",2,0,0,4.9,4.9,"0,14",-0.9,-0.9
85,Tottenham,eng Premier League,20,4.0,5,63,24,"38,1","15,75","6,00","0,08","0,21","16,8",2,0,0,5.5,5.5,"0,09",-0.5,-0.5
86,Toulouse,fr Ligue 1,19,4.0,4,45,16,"35,6","11,25","4,00","0,09","0,25","15,2",1,0,0,5.0,5.0,"0,11",-1.0,-1.0
87,Udinese,it Serie A,19,4.0,7,39,12,"30,8","9,75","3,00","0,18","0,58","16,0",0,0,1,5.2,4.4,"0,12",+1.8,+2.6
88,Union Berlin,de Bundesliga,19,3.0,2,36,13,"36,1","12,00","4,33","0,06","0,15","18,4",0,0,0,2.3,2.3,"0,06",-0.3,-0.3
89,Valencia,es La Liga,22,5.0,3,48,11,"22,9","9,60","2,20","0,06","0,27","18,6",0,0,0,3.2,3.2,"0,07",-0.2,-0.2
90,Valladolid,es La Liga,22,5.0,2,42,6,"14,3","8,40","1,20","0,05","0,33","17,5",0,0,0,3.3,3.3,"0,08",-1.3,-1.3
91,Venezia,it Serie A,26,4.0,1,38,11,"28,9","9,50","2,75","0,03","0,09","19,4",2,0,0,2.3,2.3,"0,06",-1.3,-1.3
92,Villarreal,es La Liga,20,5.0,9,70,23,"32,9","14,00","4,60","0,13","0,39","16,1",3,0,1,7.5,6.6,"0,10",+1.5,+2.4
93,Werder Bremen,de Bundesliga,18,3.0,4,29,9,"31,0","9,67","3,00","0,10","0,33","15,5",1,1,1,3.4,3.0,"0,11",+0.6,0.0
94,West Ham,eng Premier League,21,4.0,4,52,10,"19,2","13,00","2,50","0,06","0,30","16,4",0,1,1,5.1,4.4,"0,09",-1.1,-1.4
95,Wolfsburg,de Bundesliga,19,3.0,5,40,9,"22,5","13,33","3,00","0,10","0,44","18,4",1,1,1,4.7,3.9,"0,10",+0.3,+0.1
96,Wolves,eng Premier League,22,4.0,4,44,14,"31,8","11,00","3,50","0,09","0,29","18,5",2,0,0,4.4,4.4,"0,10",-0.4,-0.4
