Pos.,Squadra,Competizione,N. di giocatori,90 min,Amm.,Esp.,2 CG,Falli,Falli,Fuorigioco,Cross,Int,Contr. vinti,CR a segno,CR concessi,AR,Recup.,Vinti,Persi,% vinti
1,Alavés,es La Liga,24,5.0,13,1,0,80,61,8,119,47,49,2,1,0,192,55,86,"39,0"
2,Angers,fr Ligue 1,23,4.0,10,0,0,58,44,9,72,40,58,1,0,0,179,46,40,"53,5"
3,Arsenal,eng Premier League,19,4.0,13,1,1,55,41,7,48,37,45,0,0,0,132,52,54,"49,1"
4,Aston Villa,eng Premier League,19,4.0,9,0,0,50,59,6,56,22,50,0,1,0,146,39,41,"48,8"
5,Atalanta,it Serie A,24,4.0,10,0,0,69,42,4,74,28,28,2,0,1,144,67,57,"54,0"
6,Athletic Club,es La Liga,24,5.0,15,1,0,70,47,10,87,41,39,1,0,0,205,66,64,"50,8"
7,Atlético Madrid,es La Liga,20,5.0,6,0,0,48,44,13,87,34,48,0,0,1,207,56,41,"57,7"
8,Augsburg,de Bundesliga,22,3.0,11,0,0,33,34,4,69,21,26,0,1,0,119,54,51,"51,4"
9,Auxerre,fr Ligue 1,22,4.0,9,2,1,46,50,4,83,31,43,0,1,1,167,44,50,"46,8"
10,Barcelona,es La Liga,21,5.0,10,1,0,45,66,8,82,17,45,1,1,0,195,43,39,"52,4"
11,Bayern Munich,de Bundesliga,19,3.0,5,0,0,35,32,2,48,16,25,1,2,0,139,46,30,"60,5"
12,Betis,es La Liga,23,5.0,10,0,0,65,66,6,83,41,52,0,1,0,215,57,52,"52,3"
13,Bochum,de Bundesliga,19,3.0,7,0,0,41,24,5,44,21,30,0,0,0,112,58,51,"53,2"
14,Bologna,it Serie A,23,4.0,3,0,0,61,56,8,92,23,45,1,1,1,177,58,36,"61,7"
15,Bournemouth,eng Premier League,21,4.0,12,0,0,55,40,10,85,37,41,1,0,0,227,60,68,"46,9"
16,Brentford,eng Premier League,18,4.0,7,0,0,26,40,5,52,36,44,0,0,1,161,47,29,"61,8"
17,Brest,fr Ligue 1,23,4.0,10,0,0,44,50,6,70,44,59,3,2,1,179,53,51,"51,0"
18,Brighton,eng Premier League,23,4.0,8,0,0,38,49,3,81,29,43,0,0,0,173,56,56,"50,0"
19,Cagliari,it Serie A,23,4.0,8,0,0,62,35,6,104,31,32,0,0,0,171,77,68,"53,1"
20,Celta Vigo,es La Liga,23,5.0,11,1,0,48,72,13,57,35,35,0,1,2,170,45,44,"50,6"
21,Chelsea,eng Premier League,21,4.0,16,0,0,43,51,6,56,33,39,0,1,0,174,29,35,"45,3"
22,Como,it Serie A,26,4.0,8,0,0,48,46,7,73,32,44,0,0,0,169,47,63,"42,7"
23,Crystal Palace,eng Premier League,21,4.0,8,0,0,48,45,10,70,28,50,1,0,0,171,55,64,"46,2"
24,Dortmund,de Bundesliga,18,3.0,9,1,1,34,30,3,65,18,25,0,1,0,100,45,26,"63,4"
25,Eint Frankfurt,de Bundesliga,19,3.0,3,0,0,31,22,5,39,24,28,0,0,0,112,33,36,"47,8"
26,Empoli,it Serie A,21,4.0,7,0,0,56,52,5,50,27,50,1,0,0,146,51,72,"41,5"
27,Espanyol,es La Liga,20,5.0,11,0,0,62,67,5,76,35,55,1,0,0,173,74,60,"55,2"
28,Everton,eng Premier League,21,4.0,7,1,0,41,39,16,65,46,57,0,0,0,180,65,49,"57,0"
29,Fiorentina,it Serie A,25,4.0,8,1,1,48,65,11,79,23,37,0,0,0,139,66,67,"49,6"
30,Freiburg,de Bundesliga,21,3.0,2,0,0,24,37,10,45,37,36,0,1,0,129,39,60,"39,4"
31,Fulham,eng Premier League,19,4.0,10,0,0,54,56,4,90,36,53,0,0,0,171,64,53,"54,7"
32,Genoa,it Serie A,19,4.0,7,0,0,50,47,3,82,29,34,0,1,0,135,73,79,"48,0"
33,Getafe,es La Liga,20,5.0,12,0,0,77,74,12,98,27,57,0,1,0,190,112,90,"55,4"
34,Girona,es La Liga,22,5.0,8,0,0,55,38,17,102,36,48,0,0,0,200,15,32,"31,9"
35,Gladbach,de Bundesliga,18,3.0,3,0,0,35,27,12,54,39,34,0,1,0,128,30,45,"40,0"
36,Heidenheim,de Bundesliga,19,3.0,6,0,0,48,29,3,41,25,30,1,1,0,121,56,51,"52,3"
37,Hellas Verona,it Serie A,23,4.0,14,0,0,49,38,7,60,34,34,0,1,0,161,53,78,"40,5"
38,Hoffenheim,de Bundesliga,22,3.0,7,0,0,27,33,5,72,16,34,1,1,0,109,38,57,"40,0"
39,Holstein Kiel,de Bundesliga,21,3.0,7,1,1,43,33,3,42,28,32,0,2,1,110,62,51,"54,9"
40,Inter,it Serie A,21,4.0,4,0,0,50,48,17,81,16,33,1,1,0,137,62,51,"54,9"
41,Ipswich Town,eng Premier League,24,4.0,11,0,0,55,49,13,36,34,41,0,1,0,139,47,52,"47,5"
42,Juventus,it Serie A,23,4.0,6,0,0,40,42,8,56,20,40,1,0,0,154,40,20,"66,7"
43,Las Palmas,es La Liga,21,5.0,4,0,0,57,60,2,114,44,48,0,3,1,187,53,78,"40,5"
44,Lazio,it Serie A,21,4.0,8,0,0,49,43,7,118,27,35,1,0,0,134,48,51,"48,5"
45,Le Havre,fr Ligue 1,21,4.0,8,0,0,42,47,8,61,38,53,2,1,0,177,48,48,"50,0"
46,Lecce,it Serie A,20,4.0,6,1,0,45,56,3,72,35,35,0,2,0,159,66,79,"45,5"
47,Leganés,es La Liga,22,5.0,11,0,0,71,62,9,67,57,55,1,0,1,178,71,92,"43,6"
48,Leicester City,eng Premier League,20,4.0,10,0,0,52,57,10,53,36,48,0,1,0,157,42,56,"42,9"
49,Lens,fr Ligue 1,21,4.0,6,1,0,57,36,14,80,41,39,0,0,0,189,64,49,"56,6"
50,Leverkusen,de Bundesliga,19,3.0,5,0,0,24,28,1,70,16,30,2,0,0,130,39,20,"66,1"
51,Lille,fr Ligue 1,21,4.0,7,0,0,43,44,9,75,23,43,0,1,0,196,39,29,"57,4"
52,Liverpool,eng Premier League,19,4.0,8,0,0,50,28,3,63,33,39,0,0,0,187,58,36,"61,7"
53,Lyon,fr Ligue 1,21,4.0,6,0,0,53,39,13,62,45,49,1,0,0,174,34,48,"41,5"
54,Mainz 05,de Bundesliga,20,3.0,5,0,0,34,26,7,67,27,24,1,1,0,101,44,42,"51,2"
55,Mallorca,es La Liga,21,6.0,9,1,0,67,53,8,144,58,61,0,0,0,246,109,96,"53,2"
56,Manchester City,eng Premier League,20,4.0,8,0,0,25,40,6,65,28,32,1,0,1,154,23,30,"43,4"
57,Manchester Utd,eng Premier League,20,4.0,12,0,0,46,36,9,58,50,58,0,1,0,204,37,41,"47,4"
58,Marseille,fr Ligue 1,23,4.0,9,1,1,51,38,4,34,30,38,2,1,0,156,35,19,"64,8"
59,Milan,it Serie A,23,4.0,8,0,0,44,39,2,94,29,36,2,0,1,150,37,31,"54,4"
60,Monaco,fr Ligue 1,20,4.0,5,1,1,49,63,8,64,35,67,0,1,0,226,47,37,"56,0"
61,Montpellier,fr Ligue 1,22,4.0,13,0,0,54,48,5,78,34,44,1,1,0,174,32,47,"40,5"
62,Monza,it Serie A,20,4.0,9,0,0,58,62,3,60,34,31,0,0,0,122,92,66,"58,2"
63,Nantes,fr Ligue 1,21,4.0,10,0,0,48,34,5,74,28,55,0,0,0,162,44,58,"43,1"
64,Napoli,it Serie A,20,4.0,7,0,0,47,57,9,74,26,42,0,1,0,173,56,51,"52,3"
65,Newcastle Utd,eng Premier League,18,4.0,11,1,0,45,64,5,63,27,43,0,0,1,163,39,43,"47,6"
66,Nice,fr Ligue 1,24,4.0,10,1,1,46,63,9,70,30,47,0,1,0,168,39,49,"44,3"
67,Nott'ham Forest,eng Premier League,22,4.0,11,0,0,52,54,11,61,39,54,0,0,0,187,62,56,"52,5"
68,Osasuna,es La Liga,22,5.0,9,0,0,67,51,7,99,39,47,0,0,1,189,87,62,"58,4"
69,Paris S-G,fr Ligue 1,21,4.0,5,0,0,36,45,6,59,26,44,2,1,0,183,28,24,"53,8"
70,Parma,it Serie A,23,4.0,9,2,2,38,50,5,25,28,31,1,0,0,132,30,41,"42,3"
71,Rayo Vallecano,es La Liga,22,5.0,14,0,0,84,67,16,104,47,68,0,0,0,226,74,87,"46,0"
72,RB Leipzig,de Bundesliga,19,3.0,4,1,0,25,42,9,49,31,35,1,0,0,143,38,27,"58,5"
73,Real Madrid,es La Liga,18,5.0,6,1,0,47,68,6,81,38,55,2,0,0,195,47,39,"54,7"
74,Real Sociedad,es La Liga,25,6.0,14,1,0,86,73,9,111,38,50,0,4,0,221,88,100,"46,8"
75,Reims,fr Ligue 1,21,4.0,6,1,0,33,51,3,52,27,44,0,0,0,165,26,47,"35,6"
76,Rennes,fr Ligue 1,20,4.0,8,0,0,55,35,5,63,32,40,0,1,1,172,49,34,"59,0"
77,Roma,it Serie A,21,4.0,5,0,0,41,45,3,87,29,30,0,1,0,139,50,47,"51,5"
78,Saint-Étienne,fr Ligue 1,25,4.0,10,0,0,66,43,12,45,33,43,0,3,0,167,46,62,"42,6"
79,Sevilla,es La Liga,23,5.0,12,2,1,66,62,12,80,36,53,0,1,1,210,66,67,"49,6"
80,Southampton,eng Premier League,24,4.0,9,1,0,48,50,4,71,25,42,1,0,0,142,20,34,"37,0"
81,St. Pauli,de Bundesliga,17,3.0,6,0,0,30,36,6,62,18,22,0,0,0,128,57,72,"44,2"
82,Strasbourg,fr Ligue 1,21,4.0,11,0,0,44,60,5,40,30,46,0,1,0,158,49,40,"55,1"
83,Stuttgart,de Bundesliga,21,3.0,7,0,0,28,32,4,55,27,23,0,1,0,122,36,26,"58,1"
84,Torino,it Serie A,21,4.0,12,0,0,46,44,6,59,30,24,0,1,0,125,55,74,"42,6"
85,Tottenham,eng Premier League,20,4.0,10,0,0,49,52,7,106,26,58,0,0,0,172,47,45,"51,1"
86,Toulouse,fr Ligue 1,19,4.0,7,1,0,55,45,1,65,30,43,0,0,1,176,59,50,"54,1"
87,Udinese,it Serie A,19,4.0,14,1,1,66,39,9,63,45,42,1,2,0,133,57,52,"52,3"
88,Union Berlin,de Bundesliga,19,3.0,9,0,0,44,29,4,57,19,25,0,1,0,113,44,64,"40,7"
89,Valencia,es La Liga,22,5.0,10,0,0,54,53,14,117,33,54,0,2,0,195,52,68,"43,3"
90,Valladolid,es La Liga,22,5.0,12,1,0,70,53,11,88,41,53,0,0,0,180,48,51,"48,5"
91,Venezia,it Serie A,26,4.0,9,1,1,51,48,8,48,32,37,0,3,1,137,54,56,"49,1"
92,Villarreal,es La Liga,20,5.0,18,1,1,44,58,10,68,31,38,1,0,1,208,76,46,"62,3"
93,Werder Bremen,de Bundesliga,18,3.0,4,1,0,28,36,11,56,30,29,1,0,0,104,35,30,"53,8"
94,West Ham,eng Premier League,21,4.0,8,0,0,63,37,5,69,37,38,1,0,0,160,56,52,"51,9"
95,Wolfsburg,de Bundesliga,19,3.0,10,0,0,33,46,4,62,24,36,1,1,1,116,41,56,"42,3"
96,Wolves,eng Premier League,22,4.0,11,0,0,62,49,7,55,36,50,0,0,0,159,45,49,"47,9"
